Dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1998-05-21,-0.0047966357242813975,-0.0009074526097942787,0.0023519663099934958,-0.002722407383405774,0.002789234394081537,0.0010585984259819793,-0.0034539210084274887,0.0034919791250628517,-0.0018535318917576233,-0.004266586676892404,0.005596256380639676,0.005791733537247871,0.0013592409040908112,-0.0006462350394205675,0.000604008179611583,-0.0005121728670438617,0.0019026269526179272,-0.003251825014242656,0.004606898288452725,0.001987558087448095
1998-05-22,0.0012798467858420514,-0.0008128338443912188,-0.0027134618934336737,0.0038423317256836005,0.0018012811584926234,-0.004126673453183479,0.001417143249292674,-0.0015087200166120699,-0.003799133986867035,0.006453798578403183,0.004917000526318579,-0.00017061708403082952,-0.0005872259964968509,-0.000598979390448544,-0.0006790631820201264,0.0008595001678160814,-0.004706721645417342,0.003524119132173597,0.002378783240371794,-0.004942650349653195
1998-05-25,0.0027779674984417723,-0.003300814616290737,0.0034170316086219814,0.002575937540658521,-0.00403873757162051,0.0005985876313411842,0.0004411218190157548,-0.00423419446500411,0.007980790315313697,0.003901279978933532,0.0029165945501538585,0.0007234338358817762,0.0012365076382487804,-0.002080790287848243,0.002173114405478907,-0.005236305000483946,0.0027868514750534947,0.002601122557770329,-0.004379027310170063,-0.0002779029881696633
1998-05-26,-0.0027515308838765872,0.0035255542026868788,0.0005632852268964632,-0.003168903918923653,0.0011442766767582636,-0.0002648069294364911,-0.004607052994970571,0.0056716587341040445,0.005462760447791329,0.0018822770665534532,-0.0012259088143035425,0.0012304660311906273,-0.00441853408495098,0.004422578931730449,-0.0048161575319622,0.0020195951501410323,0.004046602036236136,-0.004896924574138094,-0.0016685194242012096,0.0003811305524641251
1998-05-27,0.003245461800446221,0.0015240467755281014,-0.002207608221741,0.004553880284986498,0.0004853437285608576,-0.004494145945683929,0.007041271433234631,0.0046217096201017814,0.0020544274522981904,-0.003861229553108525,0.000482107515194429,-0.0033784057598546624,0.003474770581575547,-0.007444103813926963,0.005067843226793432,0.001088949208453151,-0.002226903334596645,0.0018801800037295186,0.00021772330713561345,0.0038534493609636254
1998-05-28,-0.00196136463157805,-0.0023343252013540783,0.0009935678583030563,-0.002423732518681611,-0.006798433530685487,0.006752651470029145,0.006121395214497345,0.0020477241243118567,-0.0029334021897774796,0.0018957392654721085,-0.0024143685569372945,0.002478832730887962,-0.006007859480991976,0.008150307386469324,0.0026274965919539078,-0.003240282213089432,-0.0012986567758067901,0.001836115812631208,0.0012026659725761753,0.002228665673862805
1998-05-29,-0.002420574350391162,0.001191553493563123,0.001935620186221441,-0.007072558051439621,0.007774577991789708,0.004165354663975138,0.0028860933313322335,-0.0014350593958546306,0.0002833969268901465,-0.003318847076963806,0.001176255211298018,-0.005663322063986695,0.004942184096057202,0.003983766862296928,-0.00414079547335301,-0.0003781405015086918,0.0014107075948848074,0.0036368369374162523,0.006184231112123147,0.004534138476581523
1998-06-01,0.0050925990977557815,5.583885670453975e-05,-0.005381286201401399,0.008290092517651344,0.002800716767404272,0.004191411361587827,0.00015540846385654096,0.0010875856924517206,-0.0028085532261817527,0.005242642486389021,-0.005180753370256752,0.0065110610037354705,0.0025715235952081263,-0.004880819290861329,-0.0019123402925735199,0.0020503116657239785,0.0038135999205810745,0.007152908774394418,0.0063799232036493665,0.0013527287198257687
1998-06-02,0.0016028272075462695,-0.0042354681534072245,0.0045183921418547246,0.005881129818354865,0.002031924236777201,0.0015811428434048963,0.0006058416622093403,-0.002752158139230791,0.003737019043500529,-0.007212495880492697,0.005662842784032034,0.0040547380827543255,-0.005642618114256754,-0.0012950144611858386,0.0021033633206167654,0.004803037980136517,0.0038377569408879824,0.0068312575840393025,0.00192554990636267,-0.0013670791720847735
1998-06-03,-0.0045590258960907515,0.004419809021296971,0.005724386177403311,-2.019258394572081e-05,0.0004097247214228058,-0.0011187556161936412,-0.00013167467171617132,0.0022183203930988163,-0.005815947204539316,0.004919817114537284,0.004271005669640287,-0.004361223896303577,-0.0009390107728845106,0.004408454378657845,0.0016904178906045311,0.002858349539350362,0.006688343955717132,0.00021538621782257297,-0.0007821604786213605,0.0009054248214529327
1998-06-04,0.008042291373019303,0.004258280364594627,0.001445676764268806,-5.724098819945717e-06,-0.000316139873902078,-0.0026215831863921433,0.003986065652758572,-0.004540028399346346,0.005802388736795174,0.0020982559024889363,-0.005812802786294128,-0.0005975865651401099,0.0034295626038175074,-0.001639878441766065,0.004072028040983306,0.003664090612653232,-0.0012780401207720898,0.0018914251887715034,0.0003499266452686123,-0.0005693599837400979
1998-06-05,0.0024702043965651034,0.00043519573042995793,0.0011999717778524567,0.00013177716793640493,-0.0033718024815397665,0.0006641244177916859,-0.0060147960169828,0.006326671449413705,0.002901604286994762,-0.003761592744871832,-0.0007966912007941059,0.003272316362527338,0.004363434559413902,0.003962269028374817,0.004728799314713175,1.1942900123820588e-05,0.0024849974551276947,-0.0029154967361014255,0.00034722896780316664,0.0006655274199428294
1998-06-08,-0.0020498184918197287,-0.0025667512624813677,-0.00029784453407421846,-0.0032801425087708733,0.002103075293352879,-0.004649935044019741,0.004900632182965375,0.0016514372359764911,-0.0032077673363236792,-0.003941994424224642,0.0025957106485086302,0.0011416117913415488,0.005029084382106048,0.004540459155281977,-0.000920684224072342,0.00048353756513197396,0.00064398155132313,-0.0006729252341843229,0.0014601704879645006,8.423996682126937e-06
1998-06-09,-0.0013480369876932698,-0.000702644961946679,-0.003926796643935095,0.0010772832901183482,-0.005037165266030206,0.004836081509958221,0.003339729216008535,-0.004708226551686816,-0.0024776938476213945,0.0030173476449597584,0.0015237930329165435,0.006322900318579256,0.004883340415519912,-0.0012132431229409538,-0.00012139572135144277,-0.0019894033258464378,0.0006692523252961703,0.0010802719348244625,0.002876956788099666,0.004635738284700856
